,item_id,track_name,artist_name,interaction
7968,9133,Dance in the Dark,Lady Gaga,60.0
9247,6251,Government Hooker,Lady Gaga,63.0
9248,6290,Judas,Lady Gaga,152.0
9249,8926,Americano,Lady Gaga,71.0
9250,6237,Bloody Mary,Lady Gaga,72.0
9251,6232,Bad Kids,Lady Gaga,58.0
9252,6288,Highway Unicorn (Road to Love),Lady Gaga,59.0
12924,8900,Paparazzi,Lady Gaga,127.0
16304,9135,Teeth,Lady Gaga,55.0
16305,6265,Just Dance,Lady Gaga,113.0
16307,8901,"Beautiful, Dirty, Rich",Lady Gaga,46.0
16308,6250,The Fame,Lady Gaga,33.0
16309,8246,Money Honey,Lady Gaga,32.0
16310,8902,Starstruck,Lady Gaga,34.0
16311,8903,Boys Boys Boys,Lady Gaga,51.0
16312,8904,Paper Gangsta,Lady Gaga,41.0
16313,5807,I Like It Rough,Lady Gaga,31.0
16314,8906,Summerboy,Lady Gaga,44.0
16315,6236,Disco Heaven,Lady Gaga,20.0
39872,9134,So Happy I Could Die,Lady Gaga,64.0
81043,24018,Judas (DJ White Shadow Remix),Lady Gaga,10.0
116322,24029,Just Dance (Richard Vission Remix),Lady Gaga,7.0
138802,46173,Telephone,Lady Gaga,5.0
272663,6289,Retro Dance Freak,Lady Gaga,3.0
282568,36752,Judas (Goldfrapp Remix),Lady Gaga,3.0
331343,14011,Judas (Hurts Remix),Lady Gaga,1.0
449420,9136,Bad Romance (Starsmith Remix),Lady Gaga,3.0
