,item_id,track_name,artist_name,interaction
4352,5255,Hey Stephen,Taylor Swift,22.0
4381,5392,Mary's Song (Oh My My My),Taylor Swift,13.0
4393,5361,Tied Together With a Smile,Taylor Swift,8.0
4396,20463,Fifteen,Taylor Swift,16.0
10655,25060,Dear John,Taylor Swift,25.0
11636,8927,Starlight,Taylor Swift,42.0
26744,5354,Sparks Fly,Taylor Swift,44.0
26778,5277,Our Song,Taylor Swift,34.0
28514,5332,You Belong With Me,Taylor Swift,113.0
28537,5269,Back to December,Taylor Swift,47.0
28707,5341,Better Than Revenge,Taylor Swift,41.0
31852,5313,Long Live,Taylor Swift,44.0
31859,5360,The Story of Us,Taylor Swift,40.0
31862,5363,Tell Me Why,Taylor Swift,23.0
31886,5410,Never Grow Up,Taylor Swift,16.0
31892,20460,Cold as You,Taylor Swift,24.0
31893,5370,Speak Now,Taylor Swift,31.0
31976,20459,Picture to Burn,Taylor Swift,18.0
34600,20461,The Outside,Taylor Swift,5.0
34647,5337,Tim McGraw,Taylor Swift,16.0
45042,5395,Fearless,Taylor Swift,26.0
76650,20462,Stay Beautiful,Taylor Swift,8.0
90339,5357,A Place in This World,Taylor Swift,6.0
