,item_id,track_name,artist_name,interaction
2450,3643,Penny Lane,The Beatles,98.0
2487,2272,Blackbird,The Beatles,86.0
2505,3632,Helter Skelter,The Beatles,73.0
2526,12444,Hello Goodbye,The Beatles,106.0
2551,3675,Strawberry Fields Forever,The Beatles,136.0
2596,3726,Eleanor Rigby,The Beatles,157.0
2627,2268,Yellow Submarine,The Beatles,168.0
4638,11121,She's Leaving Home,The Beatles,59.0
10874,7603,While My Guitar Gently Weeps,The Beatles,137.0
11405,14394,Golden Slumbers,The Beatles,86.0
11825,6204,Savoy Truffle,The Beatles,40.0
11838,23839,I Got a Woman,The Beatles,3.0
11843,11904,Baby It's You,The Beatles,38.0
11996,12437,So How Come (No One Loves Me),The Beatles,3.0
12062,33038,Three Cool Cats,The Beatles,7.0
12106,6165,Martha My Dear,The Beatles,77.0
12226,12445,Glad All Over,The Beatles,2.0
12234,44533,Soldier of Love,The Beatles,4.0
12294,6202,I Want to Tell You,The Beatles,60.0
14241,10324,Get Back,The Beatles,110.0
14320,10776,I Me Mine,The Beatles,26.0
14354,15907,You Never Give Me Your Money,The Beatles,72.0
14366,11675,Octopus's Garden,The Beatles,87.0
14398,6163,Old Brown Shoe,The Beatles,24.0
14415,1894,I Am the Walrus,The Beatles,110.0
14531,14210,Oh! Darling,The Beatles,92.0
14798,3677,Come Together,The Beatles,184.0
18889,10702,She Said She Said,The Beatles,57.0
19258,14943,For You Blue,The Beatles,23.0
19280,13584,I Want You (She's So Heavy),The Beatles,71.0
19501,14964,Two of Us,The Beatles,33.0
20689,11838,Do You Want to Know a Secret,The Beatles,44.0
20690,21380,Words of Love,The Beatles,29.0
20691,7628,What You're Doing,The Beatles,26.0
20692,2265,Taxman,The Beatles,72.0
20696,2246,Good Day Sunshine,The Beatles,62.0
20697,10703,And Your Bird Can Sing,The Beatles,73.0
20699,2217,Dear Prudence,The Beatles,55.0
20700,12112,Glass Onion,The Beatles,59.0
20701,11963,Wild Honey Pie,The Beatles,46.0
20703,11264,Happiness Is a Warm Gun,The Beatles,76.0
20705,7606,Piggies,The Beatles,44.0
20706,12666,Rocky Raccoon,The Beatles,39.0
20707,22849,Why Don't We Do It in the Road,The Beatles,18.0
20708,13946,Mother Nature's Son,The Beatles,40.0
20823,23845,"Hallelujah, I Love Her So",The Beatles,2.0
20824,33301,Cayenne,The Beatles,1.0
20828,17996,Sgt. Pepper's Lonely Hearts Club Band (reprise),The Beatles,47.0
20829,6164,Honey Pie,The Beatles,42.0
20835,18700,Eleanor Rigby (strings only),The Beatles,2.0
21925,12563,Dig a Pony,The Beatles,25.0
25690,6166,When I'm Sixty-Four,The Beatles,71.0
25691,12092,Good Morning Good Morning,The Beatles,48.0
26019,25114,Within You Without You / Tomorrow Never Knows,The Beatles,4.0
26033,25132,Drive My Car / The Word / What You're Doing,The Beatles,6.0
27053,12443,Maxwell's Silver Hammer,The Beatles,81.0
27086,14222,Carry That Weight,The Beatles,126.0
28720,15918,Free as a Bird,The Beatles,10.0
28723,5228,Maggie Mae,The Beatles,21.0
28727,11752,The Hippy Hippy Shake,The Beatles,2.0
32127,11942,Don't Pass Me By,The Beatles,42.0
32137,11977,One After 909,The Beatles,24.0
37639,10704,Tomorrow Never Knows,The Beatles,91.0
37765,2231,Here Comes the Sun,The Beatles,156.0
40709,1711,Sun King,The Beatles,53.0
40710,7604,Mean Mr. Mustard,The Beatles,69.0
40711,12098,Polythene Pam,The Beatles,66.0
41923,2270,Sexy Sadie,The Beatles,48.0
49959,31944,Blackbird / Yesterday,The Beatles,41.0
49968,31943,Gnik Nus,The Beatles,7.0
53855,13587,Dig It,The Beatles,16.0
57076,21399,I'm So Tired,The Beatles,48.0
57191,23853,Not Guilty,The Beatles,4.0
57545,33057,All Things Must Pass,The Beatles,5.0
57769,10678,Yer Blues,The Beatles,42.0
74576,14388,Why Don't We Do It in the Road?,The Beatles,30.0
80366,37613,When I'm Sixty Four,The Beatles,1.0
80445,12094,Cry Baby Cry,The Beatles,43.0
80446,28442,Revolution 9,The Beatles,21.0
93804,11077,Good Night,The Beatles,24.0
101440,12400,A Shot of Rhythm and Blues,The Beatles,2.0
101510,40263,I'll Be on My Way,The Beatles,3.0
101754,28714,Keep Your Hands Off My Baby,The Beatles,3.0
116253,6162,Besame Mucho,The Beatles,10.0
150200,45121,Junk,The Beatles,3.0
211070,33043,Some Other Guy,The Beatles,2.0
236348,6167,Like Dreamers Do,The Beatles,5.0
239199,43696,Her Majesty,The Beatles,3.0
276914,12107,"Crying, Waiting, Hoping",The Beatles,2.0
315837,41671,The Sheik of Araby,The Beatles,1.0
345099,41672,Hello Little Girl,The Beatles,2.0
445371,6175,How Do You Do It,The Beatles,1.0
565123,14287,"Hello, Goodbye",The Beatles,3.0
