,user_id,item_id,track_name,artist_name
59075,119,3690,Sam's Town,The Killers
59076,119,3701,Enterlude,The Killers
59077,119,6610,Cut Dead,The Jesus and Mary Chain
59078,119,6611,Sowing Seeds,The Jesus and Mary Chain
59079,119,6612,My Little Underground,The Jesus and Mary Chain
59080,119,6613,Something's Wrong,The Jesus and Mary Chain
59081,119,447,Cornerstone,Arctic Monkeys
59083,119,8514,Silver Soul,Beach House
59084,119,11071,Used to Be,Beach House
59085,119,8505,Lover of Mine,Beach House
59086,119,8547,Better Times,Beach House
59087,119,8540,10 Mile Stereo,Beach House
59088,119,15078,Real Love,Beach House
59089,119,15079,Take Care,Beach House
59094,119,3694,Uncle Jonny,The Killers
59095,119,3721,My List,The Killers
59097,119,3713,Jenny Was a Friend of Mine,The Killers
59098,119,3692,Mr. Brightside,The Killers
59099,119,3681,On Top,The Killers
59100,119,3682,Change Your Mind,The Killers
59101,119,6261,Believe Me Natalie,The Killers
59102,119,3683,Midnight Show,The Killers
59103,119,6262,Everything Will Be Alright,The Killers
59104,119,3737,Tranquilize,The Killers
59105,119,3642,Shadowplay,The Killers
59106,119,3691,All the Pretty Faces,The Killers
59107,119,3689,Leave the Bourbon on the Shelf,The Killers
59108,119,3663,Sweet Talk,The Killers
59109,119,3695,Under the Gun,The Killers
59110,119,3623,Exitlude,The Killers
59113,119,1529,Horchata,Vampire Weekend
59114,119,1516,White Sky,Vampire Weekend
59115,119,3423,California English,Vampire Weekend
59116,119,1503,Taxi Cab,Vampire Weekend
59117,119,1931,Giving Up the Gun,Vampire Weekend
59118,119,1572,I Think Ur a Contra,Vampire Weekend
59119,119,2157,Mansard Roof,Vampire Weekend
59120,119,1792,Mojo Pin,Jeff Buckley
59121,119,11107,"Lover, You Should've Come Over",Jeff Buckley
59122,119,15080,Corpus Christi Carol,Jeff Buckley
59123,119,11100,Brainy,The National
59124,119,11156,Squalor Victoria,The National
59125,119,5911,Green Gloves,The National
59126,119,5707,Apartment Story,The National
59129,119,10851,Eternal Life,Jeff Buckley
59134,119,1975,Now That I'm Older,Sufjan Stevens
59135,119,6526,I Want To Be Well,Sufjan Stevens
59136,119,10879,No Cars Go,Arcade Fire
59137,119,5451,My Body Is a Cage,Arcade Fire
59138,119,12679,Prenzlauerberg,Beirut
59139,119,1356,Five Years,David Bowie
59140,119,6107,Soul Love,David Bowie
59141,119,6307,Ocean of Noise,Arcade Fire
59142,119,3637,Brianstorm,Arctic Monkeys
59150,119,6244,Windowsill,Arcade Fire
59154,119,12814,Rhineland (Heartland),Beirut
59155,119,5758,Scenic World,Beirut
59156,119,15081,God Bless The Ottoman Empire,A Hawk and a Hacksaw
59161,119,5513,Neon Bible,Arcade Fire
59162,119,6457,Communist Daughter,Neutral Milk Hotel
59164,119,11493,The Fool,Neutral Milk Hotel
59165,119,2139,My Moon My Man,Feist
59166,119,7484,Past in Present,Feist
59167,119,7485,The Limit to Your Love,Feist
59168,119,6456,In the Aeroplane Over the Sea,Neutral Milk Hotel
59172,119,6458,Oh Comely,Neutral Milk Hotel
59176,119,6234,Postcards From Italy,Beirut
59179,119,1977,Song Against Sex,Neutral Milk Hotel
59180,119,6369,You've Passed,Neutral Milk Hotel
59182,119,101,Pioneer to the Falls,Interpol
59183,119,102,No I In Threesome,Interpol
59184,119,99,The Heinrich Maneuver,Interpol
59185,119,11563,Pace Is The Trick,Interpol
59186,119,11485,All Fired Up,Interpol
59187,119,100,Rest My Chemistry,Interpol
59188,119,11529,Who Do You Think,Interpol
59189,119,15082,Wrecking Ball,Interpol
59190,119,15083,The Lighthouse,Interpol
59192,119,6120,We All Stand,New Order
59193,119,15084,5 8 6,New Order
59194,119,6190,Your Silent Face,New Order
59195,119,6184,Ultraviolence,New Order
59196,119,6374,Ecstasy,New Order
59197,119,3706,Try,The xx
59199,119,1013,Don't Carry It All,The Decemberists
59200,119,1014,Calamity Song,The Decemberists
59201,119,1015,Rise To Me,The Decemberists
59202,119,1016,Rox In The Box,The Decemberists
59203,119,1017,January Hymn,The Decemberists
59204,119,1011,Down by the Water,The Decemberists
59205,119,1018,All Arise!,The Decemberists
59206,119,1019,June Hymn,The Decemberists
59207,119,1012,This Is Why We Fight,The Decemberists
59208,119,1020,Dear Avery,The Decemberists
59209,119,8828,The Sporting Life,The Decemberists
59210,119,5761,Here I Dreamt I Was an Architect,The Decemberists
59216,119,12815,Bratislava,Beirut
59217,119,15085,The Bunker,Beirut
59218,119,15086,After The Curtain,Beirut
59220,119,7532,Stereo,Pavement
59221,119,5842,Black Mirror,Arcade Fire
59243,119,6263,Show You How,The Killers
59244,119,3654,Move Away,The Killers
