,user_id,item_id,track_name,artist_name
2418147,23552,32012,Don't You Worry Child (Acoustic Version),Swedish House Mafia
2418148,23552,1844,New Slang,The Shins
2418149,23552,7521,Staring At The Sun,TV on the Radio
2418150,23552,18046,Dry Your Eyes,The Streets
2418151,23552,3692,Mr. Brightside,The Killers
2418153,23552,3539,Hurt,Johnny Cash
2418154,23552,2121,The Rip,Portishead
2418155,23552,7638,Hoppípolla,Sigur Rós
2418156,23552,45008,Tenhert,Tinariwen
2418157,23552,44176,Banga,Ali Farka Touré
2418158,23552,15940,Lovin' in My Baby's Eyes,Taj Mahal
2418159,23552,24625,Penda Yoro,Ali Farka Touré
2418161,23552,42543,Ai Du,Ali Farka Touré
2418162,23552,44998,Yer Bounda Fara,Ali Farka Touré
2418163,23553,1534,Archangel,Burial
2418164,23553,6684,Come With Us,The Chemical Brothers
2418165,23553,14078,It Began In Afrika,The Chemical Brothers
2418166,23553,31349,First Thing,Four Tet
2418167,23553,35159,My Angel Rocks Back and Forth,Four Tet
2418168,23553,35160,Spirit Fingers,Four Tet
2418169,23553,35161,Unspoken,Four Tet
2418170,23553,31945,As Serious as Your Life,Four Tet
2418171,23553,31948,And They All Look Broken Hearted,Four Tet
2418172,23553,31950,Slow Jam,Four Tet
2418173,23553,2657,The Way Out Is Through,Nine Inch Nails
2418174,23553,9493,Into the Void,Nine Inch Nails
2418175,23553,10874,The Mark Has Been Made,Nine Inch Nails
2418176,23553,7742,(Nice Dream),Radiohead
2418177,23553,3639,Black Star,Radiohead
2418178,23553,8663,Sulk,Radiohead
2418179,23553,35158,She Moves She,Four Tet
2418181,23553,11380,Kill The King,Megadeth
2418182,23553,3271,Postmortem,Slayer
2418183,23553,15959,Momma Sed,Puscifer
2418184,23553,7376,A New Error,Moderat
2418185,23553,1542,Rusty Nails,Moderat
2418186,23553,7364,Seamonkey,Moderat
2418187,23553,7377,Nasty Silence,Moderat
2418188,23553,1484,Porc #1,Moderat
2418189,23553,1511,Porc #2,Moderat
2418190,23553,7378,Les Grandes Marches,Moderat
2418191,23553,18346,No. 22,Moderat
2418192,23553,1324,Out of Sight,Moderat
2418193,23553,13617,Dragonaut,Sleep
2418195,23553,28934,Some Grass,Sleep
2418196,23553,28935,Aquarian,Sleep
2418197,23553,10618,The Finish Line,Snow Patrol
2418198,23553,10146,Hands Open,Snow Patrol
2418199,23553,11300,Headlights on Dark Roads,Snow Patrol
2418200,23553,8523,Heresy,Nine Inch Nails
2418201,23553,7140,I Do Not Want This,Nine Inch Nails
2418202,23553,2814,Down in a Hole,Alice in Chains
2418203,23553,2801,Them Bones,Alice in Chains
2418206,23553,9657,Life in Technicolor,Coldplay
2418207,23553,16488,Cemeteries of London,Coldplay
2418208,23553,7345,Rain When I Die,Alice in Chains
2418213,23553,8349,Sickman,Alice in Chains
2418218,23553,8347,Junkhead,Alice in Chains
2418222,23553,7351,Dirt,Alice in Chains
2418226,23553,8352,God Smack,Alice in Chains
2418229,23553,8346,Hate to Feel,Alice in Chains
2418234,23553,15125,No Memory,Stone Temple Pilots
2418235,23553,15095,Naked Sunday,Stone Temple Pilots
2418236,23553,8332,Creep,Stone Temple Pilots
2418237,23553,15126,Piece of Pie,Stone Temple Pilots
2418238,23553,15127,Wet My Bed,Stone Temple Pilots
2418240,23553,2802,Dam That River,Alice in Chains
2418248,23553,24219,Iron Gland,Alice in Chains
2418251,23554,39252,Feel Like Home,Fort Minor
2418252,23554,24144,Pistol Pistol,D12
2418253,23554,24170,6 in the Morning,D12
2418254,23554,21303,40 Oz.,D12
2418256,23554,18546,It Doesn't Matter,The Chemical Brothers
2418257,23554,21851,Don't Stop the Rock,The Chemical Brothers
2418258,23554,9649,Feelin' Myself,will.i.am
2418259,23555,7072,New Skin,Incubus
2418260,23555,15117,Can't Change Me,Chris Cornell
2418261,23555,4463,Wolf Like Me,TV on the Radio
2418262,23555,26252,Beautiful Disaster,American Hi-Fi
2418264,23555,17213,Nothing To Lose,Pennywise
2418265,23555,2721,Wings Of A Butterfly,HIM
2418266,23555,5152,Hypnotize,System of a Down
2418300,23558,18323,It's My Life,Bon Jovi
2418301,23558,8928,Get the Party Started,P!nk
2418302,23558,14209,Happy Birthday,Stevie Wonder
2418303,23558,44899,Je Hoeft Niet Naar Huis Vannacht,Marco Borsato
2418307,23558,5642,Crack the Shutters,Snow Patrol
2418308,23558,11603,Just Say Yes,Snow Patrol
2418309,23558,5386,The Reason,Hoobastank
2418313,23558,31537,Rhythm Is A Dancer,Snap
2418314,23558,2138,Sexy Boy,Air
2418315,23558,47941,Volver a Empezar (Begin the Beguine),Julio Iglesias
2418316,23558,47504,Message To My Girl,Split Enz
2418322,23558,14545,It's Alright (Baby's Coming Back),Eurythmics
2418325,23558,3743,Sweet Child o' Mine,Guns N' Roses
2418336,23559,7943,Irresponsible Hate Anthem,Marilyn Manson
2418337,23559,24245,Road To Zion,Damian Marley
2418338,23559,38027,Still Searching,Damian Marley
2418340,23559,21043,Pimpa's Paradise,Damian Marley
2418341,23559,32963,Rasta Courage,SOJA
2418342,23559,21048,Welcome to Jamrock,Damian Marley
2418344,23559,32208,Murderer,Buju Banton
2418345,23559,43620,Khaki Suit,Damian Marley
2418360,23561,8526,I Want the One I Can't Have,The Smiths
2418361,23561,3766,Stretch Out and Wait,The Smiths
2418362,23561,1372,Oscillate Wildly,The Smiths
2418363,23561,8527,Rusholme Ruffians,The Smiths
2418364,23561,14171,Hairdresser On Fire,Morrissey
2418365,23561,2664,I Need Fun In My Life,The Drums
2418366,23561,10553,Meat Is Murder,The Smiths
2418367,23561,10492,Paint a Vulgar Picture,The Smiths
2418368,23561,21410,Now My Heart Is Full,Morrissey
2418369,23561,1577,Sometimes,My Bloody Valentine
2418370,23561,6190,Your Silent Face,New Order
2418371,23561,5883,The View,Modest Mouse
2418372,23562,427,We Will Rock You,Queen
2418373,23562,1328,You're My Best Friend,Queen
2418374,23562,6300,Take a Walk,Passion Pit
2418376,23562,20375,Keep Your Head,The Ting Tings
2418377,23562,5862,The Walker,Fitz and the Tantrums
2418378,23562,25077,Superman (It's Not Easy),Five for Fighting
2418379,23562,7726,Problem,Ariana Grande
2418391,23564,21828,The Move,Beastie Boys
2418392,23564,26992,Song For The Man,Beastie Boys
2418393,23564,21847,Just A Test,Beastie Boys
2418394,23564,7071,Intergalactic,Beastie Boys
2418395,23564,21730,Putting Shame In Your Game,Beastie Boys
2418396,23564,26937,Song For Junior,Beastie Boys
2418397,23564,21747,Electrify,Beastie Boys
2418398,23564,21722,Picture This,Beastie Boys
2418399,23564,21830,Unite,Beastie Boys
2418400,23564,21762,Dedication,Beastie Boys
2418401,23564,21691,"Dr. Lee, PhD",Beastie Boys
2418402,23564,21697,Instant Death,Beastie Boys
2418403,23565,28386,Up the Downstair,Porcupine Tree
2418404,23565,29354,Peace Is Free,Black Stone Cherry
2418405,23565,1867,Say Hello 2 Heaven,Temple of the Dog
2418406,23565,5692,Blurry,Puddle of Mudd
2418407,23565,7357,Nutshell,Alice in Chains
2418408,23565,10649,The Planets Bend Between Us,Snow Patrol
2418409,23565,2178,Ask Me How I Am,Snow Patrol
2418410,23565,24150,Big in Japan,Guano Apes
2418411,23565,1182,Hands Clean,Alanis Morissette
2418413,23565,16482,Radioactive,Kings of Leon
2418414,23565,5383,Be Yourself,Audioslave
2418415,23565,7473,Consequence,The Notwist
2418416,23565,5634,Set the Fire to the Third Bar,Snow Patrol
2418417,23565,13244,She Hates Me,Puddle of Mudd
2418418,23565,2125,Pick Up the Phone,The Notwist
2418419,23565,5522,9/15ths,Biffy Clyro
2418420,23565,12415,Disaster Button,Snow Patrol
2418422,23565,19574,The Weight of Love,Snow Patrol
2418423,23565,5735,Vanderlyle Crybaby Geeks,The National
2418424,23565,47517,Spendi Spandi Effendi,Rino Gaetano
2418426,23565,48110,Geordie,Fabrizio De André
