,item_id,interaction
0,72,42
1,73,99
2,74,42
3,75,31
4,76,37
5,77,41
6,9725,51
7,9726,45
8,9727,29
9,9762,26
10,105,131
11,24967,16
12,8133,88
13,14852,68
14,8178,13
15,24082,20
16,7933,18
17,8201,25
18,24345,18
19,7946,17
20,32430,15
21,8167,4
22,1,25
23,8250,20
24,9728,16
25,9729,18
26,7939,18
27,9730,16
28,9731,20
29,9733,15
30,7942,15
31,9734,19
32,13830,17
33,41698,33
34,11411,34
35,13762,19
36,26920,61
37,24957,11
38,34984,14
39,16836,14
40,7536,65
41,7537,55
42,2237,45
43,11184,71
44,9454,38
45,15300,22
46,35,36
47,42603,7
48,185,9
49,22289,9
50,24537,16
51,3558,10
52,8949,40
53,297,156
54,298,117
55,299,154
56,300,126
57,301,126
58,302,132
59,303,100
60,3128,31
61,3311,29
62,7218,18
63,7219,25
64,8115,34
65,289,25
66,290,28
67,291,16
68,292,16
69,3330,112
70,2692,105
71,3325,61
72,3323,80
73,2967,55
74,3332,60
75,3327,53
76,3264,80
77,7153,61
78,7152,67
79,295,145
80,296,191
81,353,12
82,352,14
83,334,77
84,736,14
85,702,14
86,338,60
87,13107,66
88,307,95
89,19105,13
90,42518,12
91,8618,73
92,431,63
93,8619,72
94,404,34
95,405,15
96,8888,74
97,8889,42
98,13849,52
99,488,27
100,395,24
101,396,16
102,397,23
103,398,24
104,399,29
105,400,16
106,401,22
107,403,61
108,10688,20
109,9036,40
110,9031,92
111,9123,29
112,419,57
113,604,33
114,608,60
115,602,45
116,605,32
117,2948,58
118,886,36
119,17815,20
120,2949,31
121,868,35
122,13521,40
123,5200,31
124,8429,40
125,527,27
126,4482,16
127,529,20
128,4483,25
129,2913,23
130,9862,13
131,9863,26
132,9864,15
133,9865,11
134,9866,12
135,9867,37
136,13870,95
137,568,56
138,3132,9
139,505,35
140,506,20
141,558,17
142,559,17
143,574,14
144,575,16
145,504,18
146,9938,14
147,5191,18
148,3118,21
149,817,16
150,9939,16
151,9940,17
152,849,17
153,513,64
154,516,56
155,499,45
156,588,25
157,501,105
158,570,38
159,17783,22
160,500,46
161,502,21
162,17778,39
163,523,21
164,524,123
165,609,69
166,610,69
167,528,78
168,671,36
169,903,14
170,601,47
171,2547,12
172,17196,29
173,11425,15
174,12593,73
175,5874,33
176,31263,41
177,623,18
178,616,70
179,661,57
180,594,45
181,3213,38
182,24218,25
183,2583,67
184,16194,31
185,647,21
186,863,31
187,24966,36
188,3064,13
189,707,64
190,5157,118
191,2387,13
192,853,7
193,804,2
194,2544,4
195,16349,17
196,625,30
197,825,21
198,17821,96
199,711,72
200,656,47
201,530,39
202,9818,23
203,2528,15
204,869,19
205,833,140
206,2703,23
207,2879,49
208,683,99
209,757,39
210,697,149
211,9860,26
212,13425,19
213,3041,12
214,5125,133
215,810,4
216,2556,132
217,743,33
218,16933,46
219,2876,50
220,725,26
221,5344,186
222,26342,24
223,26343,15
224,26344,16
225,12589,12
226,26345,12
227,1027,96
228,1028,16
229,1029,128
230,1030,15
231,6300,374
232,14090,57
233,3649,143
234,16478,44
235,10571,38
236,12807,157
237,2791,102
238,2792,32
239,2793,20
240,538,12
241,544,26
242,557,41
243,590,32
244,591,14
245,537,23
246,592,19
247,2794,138
248,593,32
249,15891,57
250,7693,25
251,7694,67
252,930,562
253,21651,10
254,21782,5
255,22951,14
256,171,36
257,21506,24
258,1103,35
259,7200,26
260,1141,16
261,14078,12
262,21577,6
263,7137,15
264,14079,16
265,10740,8
266,14080,14
267,27386,27
268,32367,23
269,18546,14
270,21851,16
271,14082,15
272,14081,14
273,21477,17
274,40138,15
275,21644,14
276,2196,15
277,21749,13
278,6684,13
279,10,51
280,27174,35
281,5168,71
282,21515,27
283,1082,34
284,25746,14
285,21684,15
286,17252,104
287,1583,30
288,5759,57
289,1168,79
290,1155,50
291,1159,52
292,1161,94
293,1156,85
294,1171,328
295,1166,26
296,1165,37
297,1167,109
298,1837,173
299,1223,90
300,1132,26
301,1102,115
302,6086,45
303,1280,47
304,180,87
305,1262,63
306,1292,42
307,16168,33
308,1314,30
309,1570,81
310,2288,30
311,1510,64
312,1488,39
313,23824,9
314,10866,36
315,1956,41
316,2119,59
317,2116,20
318,2095,8
319,2034,27
320,2271,2
321,5006,54
322,1905,5
323,1537,34
324,1900,40
325,2004,22
326,2167,4
327,1932,331
328,11538,22
329,6111,39
330,1548,84
331,1597,4
332,1437,117
333,1676,19
334,2210,63
335,1593,7
336,1350,14
337,1621,108
338,2156,67
339,2186,6
340,2074,21
341,1373,23
342,1921,14
343,2067,83
344,1585,149
345,2225,121
346,1095,10
347,5940,34
348,2064,46
349,2206,62
350,6879,214
351,2178,5
352,1423,15
353,1922,188
354,1360,7
355,1637,4
356,1690,20
357,1431,47
358,1448,2
359,41282,5
360,28311,9
361,2175,61
362,32964,6
363,2279,284
364,2002,71
365,6552,76
366,2085,7
367,1414,5
368,1470,2
369,1902,9
370,1088,10
371,2244,91
372,18900,31
373,1561,41
374,12554,41
375,1948,3
376,1910,17
377,146,33
378,1682,25
379,1657,117
380,1343,10
381,1636,11
382,1420,56
383,1451,70
384,1705,86
385,1349,9
386,1449,27
387,1446,7
388,1476,90
389,1378,43
390,1605,10
391,1918,21
392,8852,27
393,1606,41
394,5709,96
395,22881,13
396,21853,40
397,1931,127
398,2166,62
399,1852,40
400,1054,417
401,2173,7
402,2120,29
403,1952,13
404,90,37
405,1577,125
406,1602,55
407,2147,180
408,1344,40
409,5616,16
410,6555,52
411,6108,26
412,2138,150
413,2283,23
414,1895,28
415,1382,31
416,2222,8
417,1702,21
418,3765,33
419,2108,19
420,3543,83
421,1610,30
422,1617,8
423,1700,60
424,11247,35
425,23835,9
426,143,45
427,1364,15
428,1624,109
429,1356,66
430,6535,54
431,19490,30
432,2148,51
433,1928,22
434,1366,4
435,10869,12
436,7522,8
437,1950,21
438,1963,36
439,11537,49
440,13930,21
441,6792,11
442,2187,18
443,3539,406
444,6471,16
445,2297,5
446,16653,10
447,2292,75
448,7388,93
449,1379,18
450,1334,10
451,1594,26
452,1389,42
453,6554,54
454,1627,14
455,23945,10
456,1461,6
457,2161,30
458,2030,4
459,1629,13
460,1318,6
461,24412,9
462,25677,14
463,2159,2
464,7069,42
465,2149,100
466,79,39
467,2215,31
468,1326,17
469,24371,34
470,2122,48
471,1508,24
472,3620,104
473,5448,5
474,1799,6
475,1622,11
476,3705,80
477,1329,83
478,1744,10
479,1458,18
480,40806,7
481,1920,21
482,1783,35
483,1778,42
484,2216,17
485,1352,4
486,1764,11
487,1065,57
488,1371,43
489,1406,11
490,20266,9
491,1529,84
492,1710,61
493,2168,94
494,2157,89
495,1440,51
496,1511,20
497,1462,38
498,6456,281
499,1703,10
500,2155,12
501,2269,52
502,1489,26
503,1402,43
504,1643,38
505,2301,25
506,2322,24
507,2308,27
508,2303,22
509,2306,23
510,2323,22
511,2310,20
512,2319,58
513,2307,50
514,2320,43
515,2334,28
516,2318,25
517,2302,17
518,2325,35
519,2305,26
520,2304,20
521,2300,17
522,2315,35
523,2311,25
524,2326,19
525,2309,16
526,2324,30
527,2317,20
528,2313,38
529,2321,18
530,2312,16
531,2316,26
532,2314,19
533,734,119
534,2557,127
535,819,209
536,2558,138
537,2559,104
538,615,143
539,2560,99
540,2561,166
541,2598,27
542,2599,28
543,2600,21
544,2601,26
545,2602,34
546,26739,42
547,14121,75
548,392,137
549,4525,278
550,6462,81
551,122,130
552,6461,122
553,3009,39
554,2908,22
555,2713,40
556,861,80
557,3188,50
558,11387,141
559,11388,45
560,11389,45
561,17639,95
562,10337,67
563,5965,85
564,12505,70
565,14371,95
566,2728,35
567,2726,47
568,2727,41
569,2790,29
570,14186,31
571,3003,27
572,2635,11
573,779,19
574,2963,25
575,3029,108
576,2786,32
577,2705,89
578,2708,107
579,2419,74
580,823,25
581,662,44
582,2420,25
583,2808,28
584,2698,15
585,635,22
586,2699,17
587,2700,25
588,2701,41
589,2702,20
590,2915,25
591,915,18
592,13256,14
593,2722,114
594,2847,16
595,2846,97
596,12418,64
597,2883,51
598,20617,78
599,17640,63
600,17641,107
601,11849,61
